sequence	experiment	score	delta	status	strategy	description
1	001-0bc5f95c7239	63.61146073299106	-0.07880074421493788	revert	coordinate-transition-planar-velocity-gain-increase	Increase transitionPlanarVelocityGain by one bounded step.
2	002-526fae0deea3	66.07896718953103	2.3887057123250273	revert	coordinate-transition-planar-velocity-gain-decrease	Decrease transitionPlanarVelocityGain by one bounded step.
3	003-fa7c2fb4ee58	64.09193108091232	0.401669603706317	revert	coordinate-transition-yaw-rate-gain-increase	Increase transitionYawRateGain by one bounded step.
4	004-1e2e6e0f31de	65.00625554615083	1.3159940689448248	keep	coordinate-transition-yaw-rate-gain-decrease	Decrease transitionYawRateGain by one bounded step.
5	005-cf4f6cad329a	64.61883751561807	-0.38741803053275703	keep	coordinate-transition-planar-velocity-gain-increase	Increase transitionPlanarVelocityGain by one bounded step.
6	006-9a6d04f4fcf1	63.31813431176418	-1.3007032038538853	revert	coordinate-transition-planar-velocity-gain-increase	Increase transitionPlanarVelocityGain by one bounded step.
7	007-693a5460fe2f	63.263585325203266	-1.3552521904148023	revert	coordinate-transition-yaw-rate-gain-decrease	Decrease transitionYawRateGain by one bounded step.
8	008-6558cdacf48f	64.61883751561807	0	revert	coordinate-planar-command-rate-limit-mps2-decrease	Decrease planarCommandRateLimitMps2 by one bounded step.
9	009-8157a63de5a2	64.61883751561807	0	revert	coordinate-yaw-command-rate-limit-rad-per-sec2-decrease	Decrease yawCommandRateLimitRadPerSec2 by one bounded step.
10	010-30672d6525dc	64.61883751561807	0	revert	coordinate-delayed-command-rate-scale-decrease	Decrease delayedCommandRateScale by one bounded step.
11	011-75423a82ba3b	63.881199844341495	-0.7376376712765733	revert	coordinate-yaw-hip-differential-decrease	Decrease yawHipDifferential by one bounded step.
12	012-fe109032a179	64.7357461096463	0.1169085940282315	revert	coordinate-yaw-hip-differential-increase	Increase yawHipDifferential by one bounded step.
13	013-eea7eb7b49ec	64.72173425040688	0.10289673478881411	revert	coordinate-yaw-abduction-differential-decrease	Decrease yawAbductionDifferential by one bounded step.
14	014-42b949125640	64.66768984512551	0.04885232950744012	revert	coordinate-yaw-abduction-differential-increase	Increase yawAbductionDifferential by one bounded step.
15	015-a965d685df5b	63.23278237999173	-1.3860551356263358	revert	coordinate-yaw-phase-differential-decrease	Decrease yawPhaseDifferential by one bounded step.
16	016-82df2ca6357a	63.4588845228182	-1.159952992799866	revert	coordinate-yaw-phase-differential-increase	Increase yawPhaseDifferential by one bounded step.
17	017-561e978a382b	61.334253146293754	-3.284584369324314	revert	coordinate-command-lateral-velocity-gain-increase	Increase commandLateralVelocityGain by one bounded step.
18	018-ac30933b4dd5	61.86337592403308	-2.7554615915849894	revert	coordinate-command-lateral-velocity-gain-decrease	Decrease commandLateralVelocityGain by one bounded step.
19	019-aeb763446875	61.24055219467477	-3.3782853209432986	revert	coordinate-lateral-abduction-amplitude-increase	Increase lateralAbductionAmplitude by one bounded step.
20	020-499656ffd561	61.4837668868155	-3.1350706288025663	revert	coordinate-lateral-abduction-amplitude-decrease	Decrease lateralAbductionAmplitude by one bounded step.
21	021-44a8096ebce5	64.61789856865406	-0.0009389469640126435	keep	coordinate-lateral-command-lean-increase	Increase lateralCommandLean by one bounded step.
22	022-9f4502c672c0	63.32286875362466	-1.2950298150293946	revert	coordinate-transition-planar-velocity-gain-increase	Increase transitionPlanarVelocityGain by one bounded step.
23	023-ab4cf169fc8a	65.00136445138533	0.38346588273127225	revert	coordinate-transition-planar-velocity-gain-decrease	Decrease transitionPlanarVelocityGain by one bounded step.
24	024-9079b5721eed	63.566591187492946	-1.0513073811611093	revert	coordinate-transition-yaw-rate-gain-increase	Increase transitionYawRateGain by one bounded step.
25	025-d21e2d4068fa	63.25594423347164	-1.3619543351824177	revert	coordinate-transition-yaw-rate-gain-decrease	Decrease transitionYawRateGain by one bounded step.
26	026-b410c489351a	64.61789856865406	0	revert	coordinate-planar-command-rate-limit-mps2-decrease	Decrease planarCommandRateLimitMps2 by one bounded step.
27	027-ee876920c3c4	64.61789856865406	0	revert	coordinate-yaw-command-rate-limit-rad-per-sec2-decrease	Decrease yawCommandRateLimitRadPerSec2 by one bounded step.
28	028-1d9b5ff980ff	64.61789856865406	0	revert	coordinate-delayed-command-rate-scale-decrease	Decrease delayedCommandRateScale by one bounded step.
29	029-a31412687fdc	63.8832124025873	-0.7346861660667585	revert	coordinate-yaw-hip-differential-decrease	Decrease yawHipDifferential by one bounded step.
30	030-d4019daca222	64.73386110096628	0.1159625323122242	revert	coordinate-yaw-hip-differential-increase	Increase yawHipDifferential by one bounded step.
31	031-992d5c9310f2	64.72178560098274	0.10388703232868579	revert	coordinate-yaw-abduction-differential-decrease	Decrease yawAbductionDifferential by one bounded step.
32	032-7627be290244	64.64059492080244	0.022696352148386723	revert	coordinate-yaw-abduction-differential-increase	Increase yawAbductionDifferential by one bounded step.
33	033-45a59557aebd	63.18714988035289	-1.4307486883011649	revert	coordinate-yaw-phase-differential-decrease	Decrease yawPhaseDifferential by one bounded step.
34	034-125048d3a33d	63.43526844610891	-1.1826301225451488	revert	coordinate-yaw-phase-differential-increase	Increase yawPhaseDifferential by one bounded step.
35	035-bc01753614e1	61.18656210317267	-3.4313364654813867	revert	coordinate-command-lateral-velocity-gain-increase	Increase commandLateralVelocityGain by one bounded step.
36	036-422032f40945	61.79232598355374	-2.8255725851003177	revert	coordinate-command-lateral-velocity-gain-decrease	Decrease commandLateralVelocityGain by one bounded step.
37	037-63d87a2037c4	61.196714061212205	-3.4211845074418505	revert	coordinate-lateral-abduction-amplitude-increase	Increase lateralAbductionAmplitude by one bounded step.
38	038-b6bc45ac3d71	61.48322856890746	-3.134669999746599	revert	coordinate-lateral-abduction-amplitude-decrease	Decrease lateralAbductionAmplitude by one bounded step.
39	039-5228a70e2f6d	64.51841284582592	-0.09948572282813473	revert	coordinate-lateral-command-lean-increase	Increase lateralCommandLean by one bounded step.
40	040-276e88b0f286	60.900118022826014	-3.7177805458280417	revert	coordinate-delayed-lateral-command-lean-increase	Increase delayedLateralCommandLean by one bounded step.
41	041-69574fd6dfc5	62.33686103299518	-2.281037535658875	revert	coordinate-delayed-lateral-command-lean-decrease	Decrease delayedLateralCommandLean by one bounded step.
42	042-09ea383a4f87	63.73237172073099	-0.8855268479230674	revert	coordinate-cross-track-position-gain-decrease	Decrease crossTrackPositionGain by one bounded step.
43	043-72771d9bd967	61.325497037002414	-3.2924015316516417	revert	coordinate-cross-track-position-gain-increase	Increase crossTrackPositionGain by one bounded step.
44	044-dd9518ba67d5	64.02861176115759	-0.5892868074964639	revert	coordinate-cross-track-velocity-gain-decrease	Decrease crossTrackVelocityGain by one bounded step.
45	045-a3e77c114df8	60.27774413647986	-4.340154432174195	revert	coordinate-cross-track-velocity-gain-increase	Increase crossTrackVelocityGain by one bounded step.
46	046-b148b46cf3fa	64.94429004665123	0.4383871564970292	revert	coordinate-transition-forward-velocity-gain-increase	Increase transitionForwardVelocityGain by one bounded step.
47	047-f893f2776640	64.91595467794394	0.4100517877897403	revert	coordinate-transition-forward-velocity-gain-decrease	Decrease transitionForwardVelocityGain by one bounded step.
48	048-d3034e76a3b6	64.47946035620501	-0.026442533949193603	revert	coordinate-transition-lateral-velocity-gain-increase	Increase transitionLateralVelocityGain by one bounded step.
49	049-fc91c1a9ada5	65.0752501831127	0.5693472929584971	revert	coordinate-transition-lateral-velocity-gain-decrease	Decrease transitionLateralVelocityGain by one bounded step.
50	050-881da3b6b866	64.48739307896817	-0.018509811186035563	revert	coordinate-transition-yaw-rate-gain-increase	Increase transitionYawRateGain by one bounded step.
51	051-bf5050274ea4	64.51269869318904	0.006795803034833625	keep	coordinate-transition-yaw-rate-gain-decrease	Decrease transitionYawRateGain by one bounded step.
52	052-2060d943f90d	64.95108584968607	0.4383871564970292	revert	coordinate-transition-forward-velocity-gain-increase	Increase transitionForwardVelocityGain by one bounded step.
53	053-0a75d7875341	64.92275048097878	0.4100517877897403	revert	coordinate-transition-forward-velocity-gain-decrease	Decrease transitionForwardVelocityGain by one bounded step.
54	054-b14402fa981e	64.48437814715807	-0.028320546030968785	revert	coordinate-transition-lateral-velocity-gain-increase	Increase transitionLateralVelocityGain by one bounded step.
55	055-11bce877480c	65.09503367850945	0.5823349853204149	revert	coordinate-transition-lateral-velocity-gain-decrease	Decrease transitionLateralVelocityGain by one bounded step.
56	056-704b91eb8f7c	64.5059028901542	-0.006795803034833625	revert	coordinate-transition-yaw-rate-gain-increase	Increase transitionYawRateGain by one bounded step.
57	057-9abc7a3945c6	64.5884895087906	0.07579081560156453	revert	coordinate-transition-yaw-rate-gain-decrease	Decrease transitionYawRateGain by one bounded step.
58	058-5004d68b8366	64.28636747699906	-0.2263312161899762	revert	coordinate-transition-yaw-damping-gain-increase	Increase transitionYawDampingGain by one bounded step.
59	059-c23b87cbd690	63.67255440822115	-0.8401442849678844	revert	coordinate-transition-yaw-damping-gain-decrease	Decrease transitionYawDampingGain by one bounded step.
60	060-7c556cc4b42b	64.51269869318904	0	revert	coordinate-planar-command-rate-limit-mps2-decrease	Decrease planarCommandRateLimitMps2 by one bounded step.
61	061-eab7e736b51e	64.51269869318904	0	revert	coordinate-yaw-command-rate-limit-rad-per-sec2-decrease	Decrease yawCommandRateLimitRadPerSec2 by one bounded step.
62	062-be07a69d22bc	64.72404132299306	0.2113426298040224	keep	coordinate-delayed-command-rate-scale-decrease	Decrease delayedCommandRateScale by one bounded step.
63	063-f4d0f69e8833	64.89122904749516	0.1671877245020994	revert	coordinate-transition-forward-velocity-gain-increase	Increase transitionForwardVelocityGain by one bounded step.
64	064-98298d963d94	64.96736449450971	0.24332317151664995	revert	coordinate-transition-forward-velocity-gain-decrease	Decrease transitionForwardVelocityGain by one bounded step.
65	065-ffaada4067ff	64.69572077696209	-0.028320546030968785	revert	coordinate-transition-lateral-velocity-gain-increase	Increase transitionLateralVelocityGain by one bounded step.
66	066-7ab30e7ee950	65.30637630831347	0.5823349853204149	revert	coordinate-transition-lateral-velocity-gain-decrease	Decrease transitionLateralVelocityGain by one bounded step.
67	067-cc11b7628312	64.71724551995823	-0.006795803034833625	revert	coordinate-transition-yaw-rate-gain-increase	Increase transitionYawRateGain by one bounded step.
68	068-b1379be0f4ce	64.79983213859462	0.07579081560156453	revert	coordinate-transition-yaw-rate-gain-decrease	Decrease transitionYawRateGain by one bounded step.
69	069-2cdd6ceb07f7	64.49771010680308	-0.2263312161899762	revert	coordinate-transition-yaw-damping-gain-increase	Increase transitionYawDampingGain by one bounded step.
