sequence	experiment	score	delta	status	strategy	description
1	001-8e3e8052e65d	59.23138005191704	4.566279496791438	keep	coordinate-disturbance-phase-lead-seconds-increase	Increase disturbancePhaseLeadSeconds by one bounded step.
2	002-38bfb36b09ae	59.09101759309674	-0.14036245882030585	revert	coordinate-disturbance-phase-lead-seconds-increase	Increase disturbancePhaseLeadSeconds by one bounded step.
3	003-49c2d39445fd	54.665100555125605	-4.566279496791438	revert	coordinate-disturbance-phase-lead-seconds-decrease	Decrease disturbancePhaseLeadSeconds by one bounded step.
4	004-7ab68a00d433	57.12898542077885	-2.1023946311381962	revert	coordinate-disturbance-roll-rate-threshold-decrease	Decrease disturbanceRollRateThreshold by one bounded step.
5	005-fe25baee187f	56.40399421625043	-2.827385835666611	revert	coordinate-disturbance-roll-rate-threshold-increase	Increase disturbanceRollRateThreshold by one bounded step.
6	006-12f975f992e1	54.975732931584176	-4.255647120332867	revert	coordinate-lateral-velocity-gain-increase	Increase lateralVelocityGain by one bounded step.
7	007-8e7e4df854c8	56.31402963554232	-2.917350416374724	revert	coordinate-lateral-velocity-gain-decrease	Decrease lateralVelocityGain by one bounded step.
8	008-7dd81ca69af4	56.02348597109331	-3.207894080823735	revert	coordinate-maximum-roll-correction-increase	Increase maximumRollCorrection by one bounded step.
9	009-579deac8b1e1	55.09459190361715	-4.1367881482998925	revert	coordinate-maximum-roll-correction-decrease	Decrease maximumRollCorrection by one bounded step.
10	010-9dde2a700e1a	50.99889345467948	-8.23248659723756	revert	coordinate-state-prediction-seconds-increase	Increase statePredictionSeconds by one bounded step.
11	011-ac375b4709e8	47.82529568977323	-11.406084362143815	revert	coordinate-state-prediction-seconds-decrease	Decrease statePredictionSeconds by one bounded step.
12	012-975ce7a7f46f	60.07851089123553	0.8471308393184884	keep	coordinate-roll-position-gain-increase	Increase rollPositionGain by one bounded step.
13	013-a34995949a65	58.21869372364374	-1.8598171675917925	revert	coordinate-disturbance-phase-lead-seconds-increase	Increase disturbancePhaseLeadSeconds by one bounded step.
14	014-6e2098fc70b5	54.98279489793856	-5.09571599329697	revert	coordinate-disturbance-phase-lead-seconds-decrease	Decrease disturbancePhaseLeadSeconds by one bounded step.
15	015-6e28c0a2dba6	58.99551553501194	-1.0829953562235914	revert	coordinate-disturbance-roll-rate-threshold-decrease	Decrease disturbanceRollRateThreshold by one bounded step.
16	016-499fb6470240	55.413900703807414	-4.664610187428117	revert	coordinate-disturbance-roll-rate-threshold-increase	Increase disturbanceRollRateThreshold by one bounded step.
17	017-cb76105acadf	51.947002860616315	-8.131508030619216	revert	coordinate-lateral-velocity-gain-increase	Increase lateralVelocityGain by one bounded step.
18	018-691ecc2c284f	51.606983002217035	-8.471527889018496	revert	coordinate-lateral-velocity-gain-decrease	Decrease lateralVelocityGain by one bounded step.
19	019-d0c2725489e5	57.184928674607626	-2.8935822166279053	revert	coordinate-maximum-roll-correction-increase	Increase maximumRollCorrection by one bounded step.
20	020-f98ca2789713	58.86363526909581	-1.2148756221397221	revert	coordinate-maximum-roll-correction-decrease	Decrease maximumRollCorrection by one bounded step.
21	021-7615b1d6b22e	48.93505266853574	-11.143458222699792	revert	coordinate-state-prediction-seconds-increase	Increase statePredictionSeconds by one bounded step.
22	022-0ddf0a5ebcb9	47.07367795664206	-13.004832934593473	revert	coordinate-state-prediction-seconds-decrease	Decrease statePredictionSeconds by one bounded step.
23	023-3c57ed73a086	56.982273424474975	-3.096237466760556	revert	coordinate-roll-position-gain-increase	Increase rollPositionGain by one bounded step.
24	024-f1ef82db2250	60.39185978935045	0.31334889811491706	revert	coordinate-roll-rate-gain-increase	Increase rollRateGain by one bounded step.
25	025-df98f504fab5	58.930438826846455	-1.1480720643890763	revert	coordinate-roll-rate-gain-decrease	Decrease rollRateGain by one bounded step.
26	026-1c61c2f91510	50.25893470793594	-9.819576183299588	revert	coordinate-kp-abduction-increase	Increase kpAbduction by one bounded step.
27	027-ed599fb173ac	56.94797356990458	-3.130537321330948	revert	coordinate-kp-abduction-decrease	Decrease kpAbduction by one bounded step.
28	028-8ca7a35ddfd1	52.94682226656354	-7.131688624671995	revert	coordinate-kd-abduction-increase	Increase kdAbduction by one bounded step.
29	029-7514b2c28bda	54.36647690475773	-5.712033986477799	revert	coordinate-kd-abduction-decrease	Decrease kdAbduction by one bounded step.
30	030-d6fc1d22908b	54.82173324703352	-5.25677764420201	revert	coordinate-lateral-position-gain-increase	Increase lateralPositionGain by one bounded step.
31	031-19fe3abe28a9	56.25730056584946	-3.821210325386069	revert	coordinate-lateral-position-gain-decrease	Decrease lateralPositionGain by one bounded step.
32	032-1019653c1e76	57.50194298874527	-2.576567902490261	revert	coordinate-lateral-position-gain-decrease	Decrease lateralPositionGain by one bounded step.
33	033-8dc335e33411	59.57688593637803	-0.5016249548575047	revert	coordinate-lateral-position-gain-increase	Increase lateralPositionGain by one bounded step.
34	034-410a436d4428	56.982273424474975	-3.096237466760556	keep	feasibility-roll-position-gain	A stronger roll-position response crosses the remaining delayed-reset drift gate.
