sequence	experiment	score	delta	status	strategy	description
1	001-20c5ec6effd7	83.76731575084696	0.4074630334601892	keep	coordinate-kp-increase	Increase kp by one bounded step.
2	002-a271003fc7c5	83.88756383453581	0.12024808368884976	keep	coordinate-kp-increase	Increase kp by one bounded step.
3	003-06e7f9a439ff	83.97336485851835	0.08580102398254041	keep	coordinate-kp-increase	Increase kp by one bounded step.
4	004-1831d2af7218	84.0203274304768	0.046962571958445665	keep	coordinate-kp-increase	Increase kp by one bounded step.
5	005-e906f2615f15	84.02984860038609	0.009521169909291416	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
6	006-cd01cb9931a2	83.88431316762092	-0.13601426285588047	revert	coordinate-kd-increase	Increase kd by one bounded step.
7	007-997919512c30	84.07506901465986	0.05474158418306274	keep	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
8	008-4b244c123985	84.04568708058054	-0.02938193407932488	revert	coordinate-kp-decrease	Decrease kp by one bounded step.
9	009-02e84e60a266	84.06800248672903	-0.007066527930831512	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
10	010-72d251d8ee80	83.963517891264	-0.11155112339585571	revert	coordinate-kd-increase	Increase kd by one bounded step.
11	011-605a1d8bde5f	84.09225207025241	0.017183055592553842	revert	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
12	012-4b0914245471	84.1160568259157	0.04098781125584594	keep	coordinate-neutral-knee-increase	Increase neutralKnee by one bounded step.
13	013-b2ad8ce2f30e	84.09518108507974	-0.020875740835961665	revert	coordinate-kp-decrease	Decrease kp by one bounded step.
14	014-8928118aa2f9	84.11158511909312	-0.00447170682258502	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
15	015-9ce046ef419a	84.02983784521616	-0.0862189806995417	revert	coordinate-kd-increase	Increase kd by one bounded step.
16	016-4695817fa7f2	84.13103977460088	0.014982948685172914	revert	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
17	017-6f4cb51424fd	84.08974063758882	-0.026316188326887868	revert	coordinate-neutral-hip-decrease	Decrease neutralHip by one bounded step.
18	018-794f6733b658	84.1563495527771	0.04029272686139507	keep	coordinate-neutral-knee-increase	Increase neutralKnee by one bounded step.
19	019-3fdc5ab92d84	84.13380377563136	-0.022545777145737134	revert	coordinate-kp-decrease	Decrease kp by one bounded step.
20	020-d36928f344c9	84.15656989072093	0.000220337943829918	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
21	021-244a3dcf2a00	84.11529420386076	-0.04105534891634477	revert	coordinate-kd-increase	Increase kd by one bounded step.
22	022-cd34ff31b617	84.16674097197819	0.010391419201084773	revert	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
23	023-2855ccfc2c79	84.13703027070892	-0.019319282068181565	revert	coordinate-neutral-hip-decrease	Decrease neutralHip by one bounded step.
24	024-25c2a7f72012	84.18923359354169	0.03288404076458562	keep	coordinate-neutral-knee-increase	Increase neutralKnee by one bounded step.
25	025-470c857587cb	84.16506831744044	-0.024165276101243194	revert	coordinate-kp-decrease	Decrease kp by one bounded step.
26	026-e16ac2a1381d	84.1932367008918	0.004003107350115442	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
27	027-a6bfd06dbdbe	84.1466870744846	-0.04254651905708329	revert	coordinate-kd-increase	Increase kd by one bounded step.
28	028-42ed1e0a364f	84.2088750156328	0.019641422091112304	revert	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
29	029-e25e68a737ae	84.18082797543958	-0.008405618102102608	revert	coordinate-neutral-hip-decrease	Decrease neutralHip by one bounded step.
30	030-9d6783160f92	84.22840290335803	0.039169309816344366	keep	coordinate-neutral-knee-increase	Increase neutralKnee by one bounded step.
31	031-3f70a5aad90c	84.19308714408974	-0.03531575926828623	revert	coordinate-kp-decrease	Decrease kp by one bounded step.
32	032-6d61d7d5a5e6	84.23363981680072	0.005236913442686841	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
33	033-6776cf7e5ee9	84.16719376718964	-0.061209136168386635	revert	coordinate-kd-increase	Increase kd by one bounded step.
34	034-b7ca7b5a715f	84.25444528948661	0.02604238612858012	keep	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
35	035-d804a6c7d971	84.21410505190163	-0.04034023758498506	revert	coordinate-kp-decrease	Decrease kp by one bounded step.
36	036-3e40041df249	84.22871108364329	-0.02573420584332098	revert	coordinate-kd-decrease	Decrease kd by one bounded step.
37	037-cb3fbe8627b7	84.13483527986031	-0.11961000962629953	revert	coordinate-kd-increase	Increase kd by one bounded step.
38	038-c621b62de5c2	84.18066129485486	-0.07378399463175356	revert	coordinate-neutral-hip-increase	Increase neutralHip by one bounded step.
39	039-ceba4b6a9b7b	84.23958026056034	-0.014865028926266177	revert	coordinate-neutral-knee-increase	Increase neutralKnee by one bounded step.
40	040-488fc82cdbd1	84.26182471997316	0.0073794304865515414	revert	coordinate-contact-gain-decrease	Decrease contactGain by one bounded step.
41	041-fc26f01e58d3	84.24505792541365	-0.009387364072964033	revert	coordinate-contact-gain-increase	Increase contactGain by one bounded step.
42	042-ee8096a9e207	84.26401695031396	0.009571660827347728	revert	coordinate-roll-gain-decrease	Decrease rollGain by one bounded step.
43	043-443e192c338e	84.24808956343456	-0.006355726052049704	revert	coordinate-roll-gain-increase	Increase rollGain by one bounded step.
