sequence	experiment	policy	score	delta	status	strategy	description
1	001-4aedc1345a41	forward-residual-locomotion-7ae9a2801029896f	68.09001491153694	1.013504510024731	keep	training-total-steps-decrease	Decrease totalSteps by one bounded step.
2	002-f121716bab01	forward-residual-locomotion-0febb5a41f8b894d	67.07651040151221	-1.013504510024731	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
3	003-e6b937ff6f24	forward-residual-locomotion-fc842318ed65a543	69.44820168496315	1.3581867734262119	keep	training-learning-rate-decrease	Decrease learningRate by one bounded step.
4	004-1c9a6bdbdc1a	forward-residual-locomotion-f9a17cbd2d78c1f9	67.5490025003097	-1.8991991846534546	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
5	005-6eb88851d969	forward-residual-locomotion-cd5e4fac19cdeb89	66.5075655690741	-2.940636115889049	revert	training-learning-rate-decrease	Decrease learningRate by one bounded step.
6	006-8f76c6fcd31d	forward-residual-locomotion-554fd0ef427e974e	66.61770441049003	-2.8304972744731174	revert	training-entropy-coefficient-decrease	Decrease entropyCoefficient by one bounded step.
7	007-0af5863d3c99	forward-residual-locomotion-7d18df77abb1e733	67.2308591701804	-2.2173425147827572	revert	training-entropy-coefficient-increase	Increase entropyCoefficient by one bounded step.
8	008-55030d1149ed	forward-residual-locomotion-c94821cf3f0c7e53	69.48164218974104	0.03344050477788585	keep	training-epochs-decrease	Decrease epochs by one bounded step.
9	009-67502ab64040	forward-residual-locomotion-5a8924027a2523ec	68.4731864048986	-1.0084557848424396	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
10	010-2817d4a16d95	forward-residual-locomotion-252504b7470a1bf4	65.03177030809724	-4.449871881643801	revert	training-learning-rate-decrease	Decrease learningRate by one bounded step.
11	011-cef28da08e45	forward-residual-locomotion-2fca2b81fd04f348	67.48401063422033	-1.9976315555207123	revert	training-learning-rate-increase	Increase learningRate by one bounded step.
12	012-346afaf0f034	forward-residual-locomotion-139d4e6b3e242004	68.76636245350436	-0.7152797362366812	revert	training-entropy-coefficient-decrease	Decrease entropyCoefficient by one bounded step.
13	013-db73b52f0f87	forward-residual-locomotion-999d9a4b8dea3c44	69.4552072415581	-0.026434948182938456	revert	training-entropy-coefficient-increase	Increase entropyCoefficient by one bounded step.
14	014-88c426427462	forward-residual-locomotion-1a26a05766a5e9c8	71.23071451203992	1.7490723222988862	keep	training-clip-ratio-decrease	Decrease clipRatio by one bounded step.
15	015-7be8815f3630	forward-residual-locomotion-0875069defb1b59a	67.68644402740274	-3.544270484637181	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
16	016-832f819f7f97	forward-residual-locomotion-96e256124a586fc1	70.54020114169901	-0.6905133703409092	revert	training-learning-rate-decrease	Decrease learningRate by one bounded step.
17	017-950bf37464aa	forward-residual-locomotion-dfa326588d7eb9a2	67.74256519959573	-3.488149312444193	revert	training-learning-rate-increase	Increase learningRate by one bounded step.
18	018-cae5fbe48842	forward-residual-locomotion-5bf8fac2b33f1004	68.94835485681476	-2.2823596552251644	revert	training-entropy-coefficient-decrease	Decrease entropyCoefficient by one bounded step.
19	019-224790f0ed30	forward-residual-locomotion-23159b654c78c18a	67.28862020266392	-3.942094309376003	revert	training-entropy-coefficient-increase	Increase entropyCoefficient by one bounded step.
20	020-1419b89fcac4	forward-residual-locomotion-9861e350a3b6815b	70.10292665222715	-1.12778785981277	revert	training-epochs-increase	Increase epochs by one bounded step.
21	021-ab5d05b92040	forward-residual-locomotion-380595367b87876a	64.70125616123518	-6.529458350804745	revert	training-clip-ratio-decrease	Decrease clipRatio by one bounded step.
22	022-b01547a213c7	forward-residual-locomotion-0875069defb1b59a	67.68644402740274	-3.544270484637181	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
23	023-c0fdc2cf53f3	forward-residual-locomotion-96e256124a586fc1	70.54020114169901	-0.6905133703409092	revert	training-learning-rate-decrease	Decrease learningRate by one bounded step.
24	024-5e60bd463243	forward-residual-locomotion-dfa326588d7eb9a2	67.74256519959573	-3.488149312444193	revert	training-learning-rate-increase	Increase learningRate by one bounded step.
25	025-51647a88fa23	forward-residual-locomotion-5bf8fac2b33f1004	68.94835485681476	-2.2823596552251644	revert	training-entropy-coefficient-decrease	Decrease entropyCoefficient by one bounded step.
26	026-04152155f2c5	forward-residual-locomotion-23159b654c78c18a	67.28862020266392	-3.942094309376003	revert	training-entropy-coefficient-increase	Increase entropyCoefficient by one bounded step.
27	027-50f14e964524	forward-residual-locomotion-9861e350a3b6815b	70.10292665222715	-1.12778785981277	revert	training-epochs-increase	Increase epochs by one bounded step.
28	028-213a377e0e28	forward-residual-locomotion-380595367b87876a	64.70125616123518	-6.529458350804745	revert	training-clip-ratio-decrease	Decrease clipRatio by one bounded step.
29	029-5b8f82ab0992	forward-residual-locomotion-c94821cf3f0c7e53	69.48164218974104	-1.7490723222988862	revert	training-clip-ratio-increase	Increase clipRatio by one bounded step.
