sequence	experiment	policy	score	delta	status	strategy	description
1	001-ea961d090f42	force-residual-locomotion-34af625b19bd21e2	84.18529908910918	-0.0035416674685535554	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
2	002-4d39a82eadf6	force-residual-locomotion-d771e060a907b3ee	84.23980305153188	0.050962294954146614	keep	training-total-steps-decrease	Decrease totalSteps by one bounded step.
3	003-a66bd879d123	force-residual-locomotion-17e2b0bfe5b5b046	84.18884075657773	-0.050962294954146614	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
4	004-464f76c5dbb3	force-residual-locomotion-95623662ac684aa6	84.23742366528894	-0.002379386242935766	revert	training-learning-rate-decrease	Decrease learningRate by one bounded step.
5	005-358dd51bf934	force-residual-locomotion-b54403f6fef2f0bf	84.23331409036479	-0.006488961167093521	revert	training-learning-rate-increase	Increase learningRate by one bounded step.
6	006-8b35ff3d73fc	force-residual-locomotion-cdad2439756e7f66	84.23989166385351	0.00008861232163326349	revert	training-entropy-coefficient-decrease	Decrease entropyCoefficient by one bounded step.
7	007-b0c0d11b5e44	force-residual-locomotion-2f7372fa57d93480	84.23798868084482	-0.001814370687057476	revert	training-entropy-coefficient-increase	Increase entropyCoefficient by one bounded step.
8	008-4c770bb62574	force-residual-locomotion-991c338dfca5277f	84.22906089855569	-0.010742152976192187	revert	training-epochs-increase	Increase epochs by one bounded step.
9	009-9780b9a32db9	force-residual-locomotion-1a14d3cdf2339775	84.23590621592591	-0.003896835605971205	revert	training-epochs-decrease	Decrease epochs by one bounded step.
10	010-f29389ffb887	force-residual-locomotion-36194ed64f9fc05c	84.23665900406733	-0.0031440474645449967	revert	training-clip-ratio-decrease	Decrease clipRatio by one bounded step.
11	011-f994923a0af7	force-residual-locomotion-cb85f261785d0588	84.24369283692637	0.003889785394491696	revert	training-clip-ratio-increase	Increase clipRatio by one bounded step.
